"","Author","Year","Title","Journal","Volume","Issue","Pages"
"46040","Skorping, A.",2007,"Selecting for fast and slow maturing worms","Proceedings of the Royal Society B-Biological Sciences","274","1617","1465-1466"
"50595","Phillimore, A. B., Orme, C. D. L., Thomas, G. H., Blackburn, T. M., Bennett, P. M., Gaston, K. J. and Owens, I. P. F.",2008,"Sympatric speciation in birds is rare: Insights from range data and simulations","American Naturalist","171"," 5 ","646-657"
"50233","Sanchirico, J. N., Smith, M. D. and Lipton, D. W.",2008,"An empirical approach to ecosystem-based fishery management","Ecological Economics","64"," 3 ","586-596"
"71225","Archaux, F., Henry, P. Y. and Gimenez, O.",2012,"When can we ignore the problem of imperfect detection in comparative studies?","Methods in Ecology and Evolution","3"," 1 ","188-194"
"78561","Burgess, S. C., Nickols, K. J., Griesemer, C. D., Barnett, L. A. K., Dedrick, A. G., Satterthwaite, E. V., Yamane, L., Morgan, S. G., White, J. W. and Botsford, L. W.",2014,"Beyond connectivity: how empirical methods can quantify population persistence to improve marine protected-area design","Ecological Applications","24"," 2 ","257-270"
"64055","Martin-Ordas, G. and Call, J.",2011,"Memory processing in great apes: the effect of time and sleep","Biology Letters","7"," 6 ","829-832"
"46436","Ranganathan, J., Chan, K. M. A. and Daily, G. C.",2007,"Satellite detection of bird communities in tropical countryside","Ecological Applications","17"," 5 ","1499-1510"
"45275","Amo, L., Lopez, P. and Martin, J.",2006,"Nature-based tourism as a form of predation risk affects body condition and health state of Podarcis muralis lizards","Biological Conservation","131","3","402-409"
"40795","Dayan, T. and Simberloff, D.",2005,"Ecological and community-wide character displacement: the next generation","Ecology Letters","8","8","875-894"
"49272","Anderson, T. M., Ritchie, M. E., Mayemba, E., Eby, S., Grace, J. B. and McNaughton, S. J.",2007,"Forage nutritive quality in the serengeti ecosystem: the roles of fire and herbivory","American Naturalist","170"," 3 ","343-357"
"41575","Wu, J. G.",2006,"Landscape ecology, cross-disciplinarity, and sustainability science","Landscape Ecology","21","1","01-Apr"
"59646","Maherali, H., Caruso, C. M., Sherrard, M. E. and Latta, R. G.",2010,"Adaptive Value and Costs of Physiological Plasticity to Soil Moisture Limitation in Recombinant Inbred Lines of Avena barbata","American Naturalist","175"," 2 ","211-224"
"49574","Ward, D. M., Nislow, K. H. and Folt, C. L.",2008,"Predators reverse the direction of density dependence for juvenile salmon mortality","Oecologia","156"," 3 ","515-522"
"35456","Qvarnstrom, A., Blomgren, V., Wiley, C. and Svedin, N.",2004,"Female collared flycatchers learn to prefer males with an artificial novel ornament","Behavioral Ecology","15","4","543-548"
"56328","Gaube, V., Kaiser, C., Wildenberg, M., Adensam, H., Fleissner, P., Kobler, J., Lutz, J., Schaumberger, A., Schaumberger, J., Smetschka, B., Wolf, A., Richter, A. and Haberl, H.",2009,"Combining agent-based and stock-flow modelling approaches in a participative analysis of the integrated land system in Reichraming, Austria","Landscape Ecology","24"," 9 ","1149-1165"
"69275","Kamel, S. J. and Grosberg, R. K.",2012,"Exclusive male care despite extreme female promiscuity and low paternity in a marine snail","Ecology Letters","15"," 10 ","1167-1173"
"72719","Renfrew, R. B., Kim, D., Perlut, N., Smith, J., Fox, J. and Marra, P. P.",2013,"Phenological matching across hemispheres in a long-distance migratory bird","Diversity and Distributions","19"," 8 ","1008-1019"
"41797","Vesk, P. A.",2006,"Plant size and resprouting ability: trading tolerance and avoidance of damage?","Journal of Ecology","94","5","1027-1034"
"64449","Koenig, W. D., Walters, E. L. and Haydock, J.",2011,"Variable Helper Effects, Ecological Conditions, and the Evolution of Cooperative Breeding in the Acorn Woodpecker","American Naturalist","178"," 2 ","145-158"
"76574","Wellstein, C., Campetella, G., Spada, F., Chelli, S., Mucina, L., Canullo, R. and Bartha, S.",2014,"Context-dependent assembly rules and the role of dominating grasses in semi-natural abandoned sub-Mediterranean grasslands","Agriculture Ecosystems & Environment","182"," ","113-122"
"45288","Alston, K. P. and Richardson, D. M.",2006,"The roles of habitat features, disturbance, and distance from putative source populations in structuring alien plant invasions at the urban/wildland interface on the Cape Peninsula, South Africa","Biological Conservation","132","2","183-198"
"45148","Barton, K. E. and Bowers, M. D.",2006,"Neighbor species differentially alter resistance phenotypes in Plantago","Oecologia","150","3","442-452"
"41312","Bartolome, J., Plaixats, J., Fanlo, R. and Boada, M.",2005,"Conservation of isolated Atlantic heathlands in the Mediterranean region: effects of land-use changes in the Montseny biosphere reserve (Spain)","Biological Conservation","122","1","81-88"
"58207","Thompson, K., Petchey, O. L., Askew, A. P., Dunnett, N. P., Beckerman, A. P. and Willis, A. J.",2010,"Little evidence for limiting similarity in a long-term study of a roadside plant community","Journal of Ecology","98"," 2 ","480-487"
"58864","Ratikainen, I. I., Wright, J. and Kazem, A. J. N.",2010,"Social class influences degree of variance sensitivity in wild Siberian jays","Behavioral Ecology","21"," 5 ","1067-1072"
"47222","Loehr, V. J. T., Hofmeyr, M. D. and Henen, B. T.",2007,"Growing and shrinking in the smallest tortoise, Homopus signatus signatus: the importance of rain","Oecologia","153"," 2 ","479-488"
"69349","Jeppesen, E., Sondergaard, M., Lauridsen, T. L., Davidson, T. A., Liu, Z. W., Mazzeo, N., Trochine, C., Ozkan, K., Jensen, H. S., Trolle, D., Starling, F., Lazzaro, X., Johansson, L. S., Bjerring, R., Liboriussen, L., Larsen, S. E., Landkildehus, F., Egemose, S. and Meerhoff, M.",2012,"Biomanipulation as a Restoration Tool to Combat Eutrophication: Recent Advances and Future Challenges","Advances in Ecological Research, Vol 47: Global Change in Multispecies Systems, Pt 2","47"," ","411-488"
"55811","Jennings, N. and Pocock, M. J. O.",2009,"Relationships between Sensitivity to Agricultural Intensification and Ecological Traits of Insectivorous Mammals and Arthropods","Conservation Biology","23"," 5 ","1195-1203"
"67257","Takahara, T., Kohmatsu, Y., Maruyama, A., Doi, H., Yamanaka, H. and Yamaoka, R.",2012,"Inducible defense behavior of an anuran tadpole: cue-detection range and cue types used against predator","Behavioral Ecology","23"," 4 ","863-868"
"36218","Law, B. E., Turner, D., Campbell, J., Sun, O. J., Van Tuyl, S., Ritts, W. D. and Cohen, W. B.",2004,"Disturbance and climate effects on carbon stocks and fluxes across Western Oregon USA","Global Change Biology","10","9","1429-1444"
"64316","Laurent, E.",2011,"Issues in environmental justice within the European Union","Ecological Economics","70"," 11 ","1846-1853"
"35067","Soha, J. A., Nelson, D. A. and Parker, P. G.",2004,"Genetic analysis of song dialect populations in Puget Sound white-crowned sparrows","Behavioral Ecology","15","4","636-646"
"74831","Gholamhoseini, M., AghaAlikhani, M., Mirlatifi, S. M. and Sanavy, S. A. M. M.",2013,"Weeds - Friend or foe? Increasing forage yield and decreasing nitrate leaching on a corn forage farm infested by redroot pigweed","Agriculture Ecosystems & Environment","179"," ","151-162"
"47722","Hoyle, M. and Cresswell, J. E.",2007,"The effect of wind direction on cross-pollination in wind-pollinated GM crops","Ecological Applications","17"," 4 ","1234-1243"
"57902","Way, D. A., Ladeau, S. L., McCarthy, H. R., Clark, J. S., Oren, R., Finzi, A. C. and Jackson, R. B.",2010,"Greater seed production in elevated CO2 is not accompanied by reduced seed quality in Pinus taeda L.","Global Change Biology","16"," 3 ","1046-1056"
"59649","Magura, T., Horvath, R. and Tothmeresz, B.",2010,"Effects of urbanization on ground-dwelling spiders in forest patches, in Hungary","Landscape Ecology","25"," 4 ","621-629"
"41404","Anthofer, J. and Kroschel, J.",2005,"Above-ground biomass, nutrients, and persistence of an early and a late maturing Mucuna variety in the Forest-Savannah Transitional Zone of Ghana","Agriculture Ecosystems & Environment","110"," 1-2 ","59-77"
"70531","Condamine, F. L., Sperling, F. A. H., Wahlberg, N., Rasplus, J. Y. and Kergoat, G. J.",2012,"What causes latitudinal gradients in species diversity? Evolutionary processes and ecological constraints on swallowtail biodiversity","Ecology Letters","15"," 3 ","267-277"
"43824","Holen, O. H. and Johnstone, R. A.",2006,"Context-dependent discrimination and the evolution of mimicry","American Naturalist","167","3","377-389"
"43631","Kautz, R., Kawula, R., Hoctor, T., Comiskey, J., Jansen, D., Jennings, D., Kasbohm, J., Mazzotti, F., McBride, R., Richardson, L. and Root, K.",2006,"How much is enough? Landscape-scale conservation for the Florida panther","Biological Conservation","130","1","118-133"
"69049","Lachlan, R. F. and Nowicki, S.",2012,"How Reliable Is Song Learning Accuracy as a Signal of Male Early Condition?","American Naturalist","180"," 6 ","751-761"
"53224","Askegaard, M. and Eriksen, J.",2008,"Residual effect and leaching of N and K in cropping systems with clover and ryegrass catch crops on a coarse sand","Agriculture Ecosystems & Environment","123"," 1-3 ","99-108"
"67170","Tingley, M. W., Koo, M. S., Moritz, C., Rush, A. C. and Beissinger, S. R.",2012,"The push and pull of climate change causes heterogeneous shifts in avian elevational ranges","Global Change Biology","18"," 11 ","3279-3290"
"46450","Raiesi, F.",2007,"The conversion of overgrazed pastures to almond orchards and alfalfa cropping systems may favor microbial indicators of soil quality in Central Iran","Agriculture Ecosystems & Environment","121"," 4 ","309-318"
"40875","Coudun, C. and Gegout, J. C.",2005,"Ecological behaviour of herbaceous forest species along a pH gradient: a comparison between oceanic and semicontinental regions in northern France","Global Ecology and Biogeography","14","3","263-270"
"45014","Boisvenue, C. and Running, S. W.",2006,"Impacts of climate change on natural forest productivity - evidence since the middle of the 20th century","Global Change Biology","12","5","862-882"
"74217","Jones, N. T., Husband, B. C. and MacDougall, A. S.",2013,"Reproductive system of a mixed-mating plant responds to climate perturbation by increased selfing","Proceedings of the Royal Society B-Biological Sciences","280"," 1766 ",""
"37700","Beck, H., Gaines, M. S., Hines, J. E. and Nichols, J. D.",2004,"Comparative dynamics of small mammal populations in treefall gaps and surrounding understorey within Amazonian rainforest","Oikos","106","1","27-38"
"68033","Polkki, M., Krams, I., Kangassalo, K. and Rantala, M. J.",2012,"Inbreeding affects sexual signalling in males but not females of Tenebrio molitor","Biology Letters","8"," 3 ","423-425"
"78257","Edwards, C. B., Friedlander, A. M., Green, A. G., Hardt, M. J., Sala, E., Sweatman, H. P., Williams, I. D., Zgliczynski, B., Sandin, S. A. and Smith, J. E.",2014,"Global assessment of the status of coral reef herbivorous fishes: evidence for fishing effects","Proceedings of the Royal Society B-Biological Sciences","281"," 1774 ",""
"75746","Cameron, T. C., O'Sullivan, D., Reynolds, A., Piertney, S. B. and Benton, T. G.",2013,"Eco-evolutionary dynamics in response to selection on life-history","Ecology Letters","16"," 6 ","754-763"
"54489","Rahmig, C. J., Jensen, W. E. and With, K. A.",2009,"Grassland Bird Responses to Land Management in the Largest Remaining Tallgrass Prairie","Conservation Biology","23"," 2 ","420-432"
"45135","Baums, I. B., Miller, M. W. and Hellberg, M. E.",2006,"Geographic variation in clonal structure in a reef-building Caribbean coral, Acropora palmata","Ecological Monographs","76","4","503-519"
"56795","Dalerum, F., Cameron, E. Z., Kunkel, K. and Somers, M. J.",2009,"Diversity and depletions in continental carnivore guilds: implications for prioritizing global carnivore conservation","Biology Letters","5"," 1 ","35-38"
"77377","Moranz, R. A., Fuhlendorf, S. D. and Engle, D. M.",2014,"Making sense of a prairie butterfly paradox: The effects of grazing, time since fire, and sampling period on regal fritillary abundance","Biological Conservation","173"," ","32-41"
"45247","Archie, E. A., Moss, C. J. and Alberts, S. C.",2006,"The ties that bind: genetic relatedness predicts the fission and fusion of social groups in wild African elephants","Proceedings of the Royal Society B-Biological Sciences","273","1586","513-522"
"78363","Darras, H., Serge, L. L. and Aron, S.",2014,"Large-scale distribution of hybridogenetic lineages in a Spanish desert ant","Proceedings of the Royal Society B-Biological Sciences","281"," 1774 ",""
"67990","Presley, S. J., Cisneros, L. M., Patterson, B. D. and Willig, M. R.",2012,"Vertebrate metacommunity structure along an extensive elevational gradient in the tropics: a comparison of bats, rodents and birds","Global Ecology and Biogeography","21"," 10 ","968-976"
"48090","Giron, D., Harvey, J. A., Johnson, J. A. and Strand, M. R.",2007,"Male soldier caste larvae are non-aggressive in the polyembryonic wasp Copidosoma floridanum","Biology Letters","3"," 4 ","431-434"
"41266","Belcher, K., Nolan, J. and Phillips, P. W. B.",2005,"Genetically modified crops and agricultural landscapes: spatial patterns of contamination","Ecological Economics","53","3","387-401"
"46856","Mulholland, M. R.",2007,"The fate of nitrogen fixed by diazotrophs in the ocean","Biogeosciences","4"," 1 ","37-51"
"38856","Relyea, R. A.",2005,"The lethal impact of roundup on aquatic and terrestrial amphibians","Ecological Applications","15","4","1118-1124"
"46803","Neill, C.",2007,"The challenge of managing disturbance regimes, terrestrial communities and rare species in a suburbanizing region: The northeastern US coastal sandplain","Biological Conservation","136"," 1 ","1-3"
"44700","Coleman, R. A., Underwood, A. J., Benedetti-Cecchi, L., Aberg, P., Arenas, F., Arrontes, J., Castro, J., Hartnoll, R. G., Jenkins, S. R., Paula, J., Della Santina, P. and Hawkins, S. J.",2006,"A continental scale evaluation of the role of limpet grazing on rocky shores","Oecologia","147","3","556-564"
"74924","Fuller, T. L., Thomassen, H. A., Peralvo, M., Buermann, W., Mila, B., Kieswetter, C. M., Jarrin-V, P., Devitt, S. E. C., Mason, E., Schweizer, R. M., Schlunegger, J., Chan, J., Wang, O., Schneider, C. J., Pollinger, J. P., Saatchi, S., Graham, C. H., Wayne, R. K. and Smith, T. B.",2013,"Intraspecific morphological and genetic variation of common species predicts ranges of threatened ones (vol 280, 20131237, 2013)","Proceedings of the Royal Society B-Biological Sciences","280"," 1763 ",""
"67249","Talhelm, A. F., Pregitzer, K. S. and Giardina, C. P.",2012,"Long-Term Leaf Production Response to Elevated Atmospheric Carbon Dioxide and Tropospheric Ozone","Ecosystems","15"," 1 ","71-82"
"61824","Barre, P., Eglin, T., Christensen, B. T., Ciais, P., Houot, S., Katterer, T., van Oort, F., Peylin, P., Poulton, P. R., Romanenkov, V. and Chenu, C.",2010,"Quantifying and isolating stable soil organic carbon using long-term bare fallow experiments","Biogeosciences","7"," 11 ","3839-3850"
"53530","Wennersten, L. and Forsman, A.",2009,"Does colour polymorphism enhance survival of prey populations?","Proceedings of the Royal Society B-Biological Sciences","276"," 1665 ","2187-2194"
"56012","Hewitt, J. E. and Thrush, S. F.",2009,"Reconciling the influence of global climate phenomena on macrofaunal temporal dynamics at a variety of spatial scales","Global Change Biology","15"," 8 ","1911-1929"
"63205","Righi, E., Dogliotti, S., Stefanini, F. M. and Pacini, G. C.",2011,"Capturing farm diversity at regional level to up-scale farm level impact assessment of sustainable development options","Agriculture Ecosystems & Environment","142"," 1-2 ","63-74"
"41835","Van Ha, N., Kant, S. and Maclaren, V.",2006,"Relative shadow prices of social capital for household-level paper recycling units in Vietnam","Ecological Economics","57","3","520-533"
"75490","Costantini, V., Mazzanti, M. and Montini, A.",2013,"Environmental performance, innovation and spillovers. Evidence from a regional NAMEA","Ecological Economics","89"," ","101-114"
"41252","Bennett, E. M., Peterson, G. D. and Levitt, E. A.",2005,"Looking to the future of ecosystem services","Ecosystems","8","2","125-132"
"67034","Vedder, O.",2012,"Individual birds advance offspring hatching in response to increased temperature after the start of laying","Oecologia","170"," 3 ","619-628"
"74631","Hagenbucher, S., Wackers, F. L., Wettstein, F. E., Olson, D. M., Ruberson, J. R. and Romeis, J.",2013,"Pest trade-offs in technology: reduced damage by caterpillars in Bt cotton benefits aphids","Proceedings of the Royal Society B-Biological Sciences","280"," 1758 ",""
"51117","Maron, M. and Cockfield, G.",2008,"Managing Trade-Offs in Landscape Restoration and Revegetation Projects","Ecological Applications","18"," 8 ","2041-2049"
"50628","Perez-Barberia, F. J., Perez-Fernandez, E., Robertson, E. and Alvarez-Enriquez, B.",2008,"Does the Jarman-Bell principle at intra-specific level explain sexual segregation in polygynous ungulates? Sex differences in forage digestibility in Soay sheep","Oecologia","157"," 1 ","21-30"
"75966","Bolte, S., Roth, O., Philipp, E. E. R., Saphorster, J., Rosenstiel, P. and Reusch, T. B. H.",2013,"Specific immune priming in the invasive ctenophore Mnemiopsis leidyi","Biology Letters","9"," 6 ",""
"36008","Matlack, G. R. and Monde, J.",2004,"Consequences of low mobility in spatially and temporally heterogeneous ecosystems","Journal of Ecology","92","6","1025-1035"
"78752","Banerji, A. and Morin, P. J.",2014,"Trait-mediated apparent competition in an intraguild predator-prey system","Oikos","123"," 5 ","567-574"
"65572","Edwards, H. J., Elliott, I. A., Eakin, C. M., Irikawa, A., Madin, J. S., McField, M., Morgan, J. A., van Woesik, R. and Mumby, P. J.",2011,"How much time can herbivore protection buy for coral reefs under realistic regimes of hurricanes and coral bleaching?","Global Change Biology","17"," 6 ","2033-2048"
"35719","O'donnell, S. and Beshers, S. N.",2004,"The role of male disease susceptibility in the evolution of haplodiploid insect societies","Proceedings of the Royal Society B-Biological Sciences","271","1542","979-983"
"39243","Niel, C. and Lebreton, J. D.",2005,"Using demographic invariants to detect overharvested bird populations from incomplete data","Conservation Biology","19","3","826-835"
"65460","Fehl, K., van der Post, D. J. and Semmann, D.",2011,"Co-evolution of behaviour and social network structure promotes human cooperation","Ecology Letters","14"," 6 ","546-551"
"68417","Montserrat, M., Magalhaes, S., Sabelis, M. W., de Roos, A. M. and Janssen, A.",2012,"Invasion success in communities with reciprocal intraguild predation depends on the stage structure of the resident population","Oikos","121"," 1 ","67-76"
"41127","Brannstrom, A. and Dieckmann, U.",2005,"Evolutionary dynamics of altruism and cheating among social amoebas","Proceedings of the Royal Society B-Biological Sciences","272","1572","1609-1616"
"75187","Edenbrow, M. and Croft-, D. P.",2013,"Environmental and genetic effects shape the development of personality traits in the mangrove killifish Kryptolebias marmoratus","Oikos","122"," 5 ","667-681"
"67680","Sand, H., Vucetich, J. A., Zimmermann, B., Wabakken, P., Wikenros, C., Pedersen, H. C., Peterson, R. O. and Liberg, O.",2012,"Assessing the influence of prey-predator ratio, prey age structure and packs size on wolf kill rates","Oikos","121"," 9 ","1454-1463"
"78307","Ding, H. L. and Nunes, P. A. L. D.",2014,"Modeling the links between biodiversity, ecosystem services and human wellbeing in the context of climate change: Results from an econometric analysis of the European forest ecosystems","Ecological Economics","97"," ","60-73"
"61500","Butler, C.",2010,"Population and climate change - a response to Meyerson","Frontiers in Ecology and the Environment","8"," 2 ","65-65"
"57608","Akpalu, W.",2009,"Economics of biodiversity and sustainable fisheries management","Ecological Economics","68"," 10 ","2729-2733"
"66409","Barton, L., Butterbach-Bahl, K., Kiese, R. and Murphy, D. V.",2011,"Nitrous oxide fluxes from a grain-legume crop (narrow-leafed lupin) grown in a semiarid climate","Global Change Biology","17"," 2 ","1153-1166"
"47839","Helfield, J. M., Capon, S. J., Nilsson, C., Jansson, R. and Palm, D.",2007,"Restoration of rivers used for timber floating: Effects on riparian plant diversity","Ecological Applications","17"," 3 ","840-851"
"60352","HilleRisLambers, J., Yelenik, S. G., Colman, B. P. and Levine, J. M.",2010,"California annual grass invaders: the drivers or passengers of change?","Journal of Ecology","98"," 5 ","1147-1156"
"48055","Goodger, J. Q. D., Choo, T. Y. S. and Woodrow, I. E.",2007,"Ontogenetic and temporal trajectories of chemical defence in a cyanogenic eucalypt","Oecologia","153"," 4 ","799-808"
"78923","",2008,"The summit herpetofauna of Auyantepui, Venezuela: Report from the Robert G. Goelet American Museum - TERRAMAR Expedition","Bulletin of the American Museum of Natural History"," ","308","5-147"
"67871","Reimer, J. J.",2012,"On the economics of virtual water trade","Ecological Economics","75"," ","135-139"
"73695","Lorion, J., Kiel, S., Faure, B., Kawato, M., Ho, S. Y. W., Marshall, B., Tsuchida, S., Miyazaki, J. and Fujiwara, Y.",2013,"Adaptive radiation of chemosymbiotic deep-sea mussels","Proceedings of the Royal Society B-Biological Sciences","280"," 1770 ",""
"71753","Vianna, G. M. S., Meekan, M. G., Pannell, D. J., Marsh, S. P. and Meeuwig, J. J.",2013,"Valuing individual animals through tourism: Science or speculation? - Reply to Catlin et al. (2013)","Biological Conservation","166"," ","301-302"
"76664","van Lent, J., Hernandez-Barrios, J. C., Anten, N. P. R. and Martinez-Ramos, M.",2014,"Defoliation effects on seed dispersal and seedling recruitment in a tropical rain forest understorey palm","Journal of Ecology","102"," 3 ","709-720"
"78266","Earl, J. E., Castello, P. O., Cohagen, K. E. and Semlitsch, R. D.",2014,"Effects of subsidy quality on reciprocal subsidies: how leaf litter species changes frog biomass export","Oecologia","175"," 1 ","209-218"
"70517","Coomes, D. A., Holdaway, R. J., Kobe, R. K., Lines, E. R. and Allen, R. B.",2012,"A general integrative framework for modelling woody biomass production and carbon sequestration rates in forests","Journal of Ecology","100"," 1 ","42-64"
"66815","Wilmers, C. C., Estes, J. A., Edwards, M., Laidre, K. L. and Konar, B.",2012,"Do trophic cascades affect the storage and flux of atmospheric carbon? An analysis of sea otters and kelp forests","Frontiers in Ecology and the Environment","10"," 8 ","409-415"
"76014","Biro, P. A.",2013,"Are most samples of animals systematically biased? Consistent individual trait differences bias samples despite random sampling","Oecologia","171"," 2 ","339-345"
"73615","Magrach, A., Santamaria, L. and Larrinaga, A. R.",2013,"Forest edges show contrasting effects on an austral mistletoe due to differences in pollination and seed dispersal","Journal of Ecology","101"," 3 ","713-721"
"48761","Charnov, E. L., Warne, R. and Moses, M.",2007,"Lifetime reproductive effort","American Naturalist","170"," 6 ","E129-E142"
"59752","Lipsey, M. K. and Hockey, P. A. R.",2010,"Do ecological networks in South African commercial forests benefit grassland birds? A case study of a pine plantation in KwaZulu-Natal","Agriculture Ecosystems & Environment","137"," 1-2 ","133-142"
"51127","Marhan, S., Derain, D., Erbs, M., Kuzyakov, Y., Fangmeier, A. and Kandeler, E.",2008,"Soil organic matter mineralization and residue decomposition of spring wheat grown under elevated CO2 atmosphere","Agriculture Ecosystems & Environment","123"," 1-3 ","63-68"
"61634","Borer, E. T., Seabloom, E. W., Mitchell, C. E. and Power, A. G.",2010,"Local context drives infection of grasses by vector-borne generalist viruses","Ecology Letters","13"," 7 ","810-818"
